group,SPORT
ext,Viasat Golf HD ENG,http://46.61.226.18/hls/CH_C06_VIASATGOLFHD/bw3000000/variant.m3u8?version=2
ext,FOX SPORTS BRASIL,rtmp://31.204.153.71:1935/live/master05?IGOR_RANGEL
ESPN.uk,ESPN,rtmp://31.204.153.71:1935/live/master06?IGOR_RANGEL
ext,ESPN1,rtmp://76.73.108.33:1935/edge
beINSport1.fr,BEIN SPORTS 1,http://4.31.30.145:9128/
beINSport2.fr,BEIN SPORTS 2,http://2co1.vp9.tv/chn/bin02/v.m3u8
BeInSportMax3.fr,BEIN SPORTS 3,http://2co1.vp9.tv/chn/bin03/v.m3u8
RaiSport1.it,RAI SPORT 1,mmsh://212.162.68.163:80/raisport+
RaiSport2.it,RAI SPORT 2,mmsh://212.162.68.163:80/raisport2
ext,ESPN HD SP,http://200.76.77.237/LIVE/H01/CANAL516/PROFILE03.m3u8?IGOR_RANGEL
ext,ESPN SP,http://200.76.77.237/LIVE/H01/CANAL558/PROFILE03.m3u8?IGOR_RANGEL
ext,ESPN 2 SP,http://200.76.77.237/LIVE/H01/CANAL561/PROFILE03.m3u8?IGOR_RANGEL
ext,FOX SPORTS SP,http://live.oneplay.tv/reproducir/397.m3u8
ext,FOX SPORTS HD SP,http://200.76.77.237/LIVE/H01/CANAL522/PROFILE03.m3u8?IGOR_RANGEL
ext,FOX SPORTS 2 SP,http://200.76.77.237/LIVE/H01/CANAL527/PROFILE03.m3u8?IGOR_RANGEL
FoxSports.it,FOX SPORTS,rtmp://31.204.153.72:1935/live/fsb
ext,Beinsport 2HD,rtmp://180.250.29.12:1935/jhos/beib2_5
bein1hd.jsc,beIN 1,http://185.56.30.127:8082/TV4016
bein2hd.jsc,beIN 2,http://185.56.30.127:8082/TV4017
ext,beIN 12,http://185.56.30.127:8082/TV4012
ext,beIN 13 FR,http://185.56.30.127:8082/TV4013
ext,beIN 14 FR,http://185.56.30.127:8082/TV4014
ext,Super sport 1,http://81.7.13.162/hls/ss1/index.m3u8
ext,Super sport 2,http://81.7.13.162/hls/ss2/index.m3u8
ext,Super sport 3,http://81.7.13.162/hls/ss3/index.m3u8
ESPN.uk,ESPN,http://162.219.0.235:8000/udp/162.219.0.235:15140

group,MUSIC
pop.uk,POP,http://llnw.live.simplestream.com/coder4/coder.channels.channel14/hls/3/playlist.m3u8
MTVLiveHD.uk,MTV Live HD,http://200.76.77.237/LIVE/H01/CANAL701/PROFILE02.m3u8
ext,MTV Hits SD,http://hlsstr02.svc.iptv.rt.ru/hls/CH_MTVHITS/bw480000/playlist.m3u8?utcstart=1425964607.5274911
mtv-dance,MTV Dance HD,http://hlsstr02.svc.iptv.rt.ru/hls/CH_MTVDANCE/bw480000/playlist.m3u8?utcstart=1425964714.5193388
mtv-rocks,MTV Rocks HD,http://hlsstr02.svc.iptv.rt.ru/hls/CH_MTVROCKS/bw480000/playlist.m3u8?utcstart=1425964738.5959589
ext,4Music HD,http://llnw.live.simplestream.com/coder9/coder.channels.channel6/hls/3/playlist.m3u8
ext,Now Thats What I Call Music Channel,http://llnw.live.simplestream.com/coder6/coder.channels.channel5/hls/3/playlist.m3u8
ext,Heart TV,http://llnw.live.simplestream.com/coder7/coder.channels.channel10/hls/3/playlist.m3u8
PlanetPop.uk,Planet POP,http://llnw.live.simplestream.com/coder8/coder.channels.channel11/hls/3/playlist.m3u8
HeatTV.uk,Heat TV,http://llnw.live.simplestream.com/coder9/coder.channels.channel8/hls/3/playlist.m3u8
KissTV.uk,Kiss TV,http://llnw.live.simplestream.com/coder9/coder.channels.channel14/hls/3/playlist.m3u8
ext,KERRANG TV,http://llnw.live.simplestream.com/coder11/coder.channels.channel4/hls/3/playlist.m3u8
ext,Magic.TV,http://llnw.live.simplestream.com/coder11/coder.channels.channel2/hls/3/playlist.m3u8
SmashHits.uk,Smash Hits!,http://llnw.live.simplestream.com/coder9/coder.channels.channel2/hls/3/playlist.m3u8
TheBox.uk,The Box,http://llnw.live.simplestream.com/coder9/coder.channels.channel12/hls/3/playlist.m3u8
Telehit.mx,TELEHIT,http://200.76.77.237/LIVE/H01/CANAL702/PROFILE02.m3u8?
VH1UK.uk,VH1 UK,http://92.50.181.6/tv/1282/index.m3u8
ext,VH1 SP,http://200.76.77.237/LIVE/H01/CANAL703/PROFILE02.m3u8
vh-1-classic,VH1 Classic,http://hlsstr02.svc.iptv.rt.ru/hls/CH_VH1CLASSIC/bw480000/playlist.m3u8?utcstart=1425965374.0639367
ext,BANDAMAX HD,http://200.76.77.237/LIVE/H01/CANAL732/PROFILE02.m3u8?
B4UMusic.uk,B4U Music,http://46.249.213.87/iPhone/broadcast/b4u-tablet.3gp/b4u-tablet.3gp-mr648k.m3u8?trackingid=3391380000&os=desktop
CapitalTV.uk,CAPITAL TV,http://ooyalahd2-f.akamaihd.net/i/globalradio01_delivery@156521/index_656_av-p.m3u8?sd=10&rebase=on
ChannelAka.uk,Channel AKA,http://rrr.sz.xlcdn.com/?account=AATW&file=akanew&type=live&service=wowza&protocol=http&output=playlist.m3u8
ClublandTV.uk,Clubland TV,http://rrr.sz.xlcdn.com/?account=AATW&file=clublandtv&type=live&service=wowza&protocol=http&output=playlist.m3u8
ext,MTV Music HD,rtmp://83.218.202.202:1935/live
MTVEurope.cz,MTV Europe,http://200.76.77.237/LIVE/H01/CANAL726/PROFILE02.m3u8?
MTVLiveHD.uk,MTV Live HD,http://200.76.77.237/LIVE/H01/CANAL701/PROFILE01.m3u8
ext,MTV Hits SD,http://hlsstr02.svc.iptv.rt.ru/hls/CH_MTVHITS/variant.m3u8
mtv-dance,MTV Dance HD,http://hlsstr02.svc.iptv.rt.ru/hls/CH_MTVDANCE/variant.m3u8
mtv-rocks,MTV Rocks HD,http://hlsstr02.svc.iptv.rt.ru/hls/CH_MTVROCKS/variant.m3u8
ext,VEVO HD ENG,http://vevoplaylist-live.hls.adaptive.level3.net/vevo/ch1/appleman.m3u8
ext,Vevo 2 HD ENG,http://vevoplaylist-live.hls.adaptive.level3.net/vevo/ch2/05/prog_index.m3u8
ext,Vevo 3 HD ENG,http://vevoplaylist-live.hls.adaptive.level3.net/vevo/ch3/05/prog_index.m3u8
ext,USA:Kiss ENG,rtmp://tst.es.flash.glb.ipercast.net:1935/tst.es-live/live
ext,1HD ENG,rtmp://109.239.142.62:1935/live/livestream3
mtvlive-hd,MTV LIVE HD ENG,http://200.76.77.237/LIVE/H01/CANAL701/PROFILE03.m3u8?
kultura,First Music HD 1080p,rtmp://109.239.142.62:1935/live/livestream3

group,ENTERTAINMENT
BBC1.uk,BBC 1,http://37.220.29.186:8000/bbc1/bbc1/index.m3u8
ext,BBC One London (stream 2),http://82.135.224.134:80/udp/239.100.3.1:1234
ext,BBC One Scotland,http://82.135.224.134:80/udp/239.100.3.2:1234
BBC2.uk,BBC 2,http://37.220.29.186:8000/bbc2/bbc2/index.m3u8
ext,BBC Two England (stream 2),http://82.135.224.134:80/udp/239.100.3.3:1234
BBC3.uk,BBC Three,http://82.135.224.134:80/udp/239.100.3.4:1234
BBC4.uk,BBC Four,http://82.135.224.134:80/udp/239.100.3.5:1234
ITV1London.uk,ITV 1 London,http://82.135.224.134:80/udp/239.100.3.6:1234
